label_index,label_ar,treatment,baseline,baseline_mean_f1,treatment_mean_f1,mean_f1_delta,contrast
18,غ,full_absolute_masked_mean,bend_spread,0.7379775659330199,0.7902813299232737,0.052303763990253826,palm orientation added
13,ص,full_absolute_masked_mean,bend_spread,0.6548593706488443,0.7060769507371449,0.051217580088300685,palm orientation added
12,ش,full_absolute_masked_mean,bend_spread,0.6587430787143136,0.7065016824052969,0.04775860369098328,palm orientation added
27,ي,full_absolute_masked_mean,bend_spread,0.841966966966967,0.8748721262047058,0.032905159237738735,palm orientation added
19,ف,full_absolute_masked_mean,bend_spread,0.555777220448903,0.5665991026301448,0.010821882181241804,palm orientation added
6,خ,full_absolute_masked_mean,bend_spread,0.7254135875949258,0.716893001926509,-0.008520585668416847,palm orientation added
5,ح,full_absolute_masked_mean,bend_spread,0.7219157351344565,0.7041801821613797,-0.01773555297307683,palm orientation added
22,ل,full_absolute_masked_mean,bend_spread,0.6230414746543779,0.5910079950511964,-0.03203347960318148,palm orientation added
14,ض,full_absolute_masked_mean,bend_spread,0.511640371151978,0.4748967522384115,-0.036743618913566534,palm orientation added
21,ك,full_absolute_masked_mean,bend_spread,0.6645073648591397,0.6021885521885522,-0.06231881267058759,palm orientation added
20,ق,full_absolute_masked_mean,bend_spread,0.6785043416622365,0.5815241052432704,-0.09698023641896614,palm orientation added
0,ا,full_absolute_masked_mean,bend_spread,0.6372475533581559,0.5306013659836748,-0.10664618737448106,palm orientation added
9,ر,full_absolute_masked_mean,bend_spread,0.7812818624674295,0.663253791943097,-0.1180280705243325,palm orientation added
1,ب,full_absolute_masked_mean,bend_spread,0.7035468069950829,0.5603003003003003,-0.14324650669478256,palm orientation added
25,ه,full_absolute_masked_mean,bend_only,0.5408322903629537,0.8208616780045351,0.2800293876415815,full glove vs bend only
10,ز,full_absolute_masked_mean,bend_only,0.14035087719298245,0.38444330308737085,0.2440924258943884,full glove vs bend only
11,س,full_absolute_masked_mean,bend_only,0.48520349586447664,0.7135961726483236,0.228392676783847,full glove vs bend only
17,ع,full_absolute_masked_mean,bend_only,0.5445450836393309,0.7724608130495731,0.2279157294102423,full glove vs bend only
4,ج,full_absolute_masked_mean,bend_only,0.6841064711932575,0.8605585834670735,0.17645211227381596,full glove vs bend only
7,د,full_absolute_masked_mean,bend_only,0.47336238640586464,0.6355147735102045,0.16215238710433982,full glove vs bend only
12,ش,full_absolute_masked_mean,bend_only,0.5863095238095238,0.7065016824052969,0.12019215859577304,full glove vs bend only
27,ي,full_absolute_masked_mean,bend_only,0.7604387203011056,0.8748721262047058,0.11443340590360018,full glove vs bend only
21,ك,full_absolute_masked_mean,bend_only,0.4985188808718221,0.6021885521885522,0.10366967131673005,full glove vs bend only
23,م,full_absolute_masked_mean,bend_only,0.9022933739914872,0.9811320754716982,0.078838701480211,full glove vs bend only
5,ح,full_absolute_masked_mean,bend_only,0.6358024691358025,0.7041801821613797,0.06837771302557716,full glove vs bend only
24,ن,full_absolute_masked_mean,bend_only,0.5020413352221132,0.5703592889775401,0.06831795375542682,full glove vs bend only
26,و,full_absolute_masked_mean,bend_only,0.6807419318230933,0.7419354838709676,0.061193552047874356,full glove vs bend only
8,ذ,full_absolute_masked_mean,bend_only,0.6303082685105157,0.684357881923311,0.05404961341279535,full glove vs bend only
