config,fold,label_index,label_ar,precision,recall,f1,support
bend_spread,01,14,ض,0.16666666666666666,0.04,0.06451612903225806,50
bend_spread,01,15,ط,0.17647058823529413,0.12,0.14285714285714285,50
bend_spread,01,16,ظ,0.4411764705882353,0.3,0.35714285714285715,50
bend_spread,01,17,ع,0.42857142857142855,0.3,0.35294117647058826,50
bend_spread,01,18,غ,0.5849056603773585,0.62,0.6019417475728155,50
bend_spread,01,19,ف,0.4782608695652174,0.44,0.4583333333333333,50
bend_spread,01,20,ق,1.0,0.14,0.24561403508771928,50
bend_spread,01,21,ك,0.7164179104477612,0.96,0.8205128205128205,50
bend_spread,01,22,ل,0.5921052631578947,0.9,0.7142857142857143,50
bend_spread,01,23,م,1.0,0.86,0.9247311827956989,50
bend_spread,01,24,ن,0.6,0.36,0.45,50
bend_spread,01,25,ه,0.7222222222222222,0.26,0.38235294117647056,50
bend_spread,01,26,و,0.7777777777777778,0.7,0.7368421052631579,50
bend_spread,01,27,ي,0.6521739130434783,0.6,0.625,50
bend_spread,02,0,ا,0.8333333333333334,0.6,0.6976744186046512,50
bend_spread,02,1,ب,0.6885245901639344,0.84,0.7567567567567568,50
bend_spread,02,2,ت,0.2823529411764706,0.48,0.35555555555555557,50
bend_spread,02,3,ث,0.8108108108108109,0.6,0.6896551724137931,50
bend_spread,02,4,ج,1.0,0.4117647058823529,0.5833333333333334,51
bend_spread,02,5,ح,0.9361702127659575,0.88,0.9072164948453608,50
bend_spread,02,6,خ,0.7246376811594203,1.0,0.8403361344537815,50
bend_spread,02,7,د,0.5737704918032787,0.7,0.6306306306306306,50
bend_spread,02,8,ذ,0.72,0.72,0.72,50
bend_spread,02,9,ر,0.6595744680851063,0.62,0.6391752577319587,50
bend_spread,02,10,ز,0.022727272727272728,0.02,0.02127659574468085,50
bend_spread,02,11,س,0.6756756756756757,1.0,0.8064516129032258,50
bend_spread,02,12,ش,0.9767441860465116,0.84,0.9032258064516129,50
bend_spread,02,13,ص,0.8545454545454545,0.94,0.8952380952380953,50
bend_spread,02,14,ض,0.6363636363636364,0.7,0.6666666666666666,50
bend_spread,02,15,ط,0.22826086956521738,0.42,0.29577464788732394,50
bend_spread,02,16,ظ,0.5116279069767442,0.44,0.4731182795698925,50
bend_spread,02,17,ع,0.46153846153846156,0.48,0.47058823529411764,50
bend_spread,02,18,غ,1.0,0.7,0.8235294117647058,50
bend_spread,02,19,ف,0.9444444444444444,0.68,0.7906976744186046,50
bend_spread,02,20,ق,1.0,0.98,0.98989898989899,50
bend_spread,02,21,ك,0.8214285714285714,0.92,0.8679245283018868,50
bend_spread,02,22,ل,0.9714285714285714,0.68,0.8,50
bend_spread,02,23,م,0.8333333333333334,1.0,0.9090909090909091,50
bend_spread,02,24,ن,0.9375,0.3,0.45454545454545453,50
bend_spread,02,25,ه,0.9787234042553191,0.92,0.9484536082474226,50
bend_spread,02,26,و,0.8888888888888888,0.8,0.8421052631578947,50
bend_spread,02,27,ي,1.0,1.0,1.0,50
bend_spread,03,0,ا,0.64,0.32,0.4266666666666667,50
bend_spread,03,1,ب,0.5151515151515151,0.68,0.5862068965517241,50
bend_spread,03,2,ت,0.9444444444444444,0.34,0.5,50
bend_spread,03,3,ث,1.0,0.18,0.3050847457627119,50
bend_spread,03,4,ج,0.2905982905982906,0.5964912280701754,0.39080459770114945,57
